"","NearestGene_mgi_symbol","feature","Chr","Start","End","width","strand","peak","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","peakNames"
"79","Rpusd3","ENSMUSG00000051169","chr6",113427433,113427620,188,"*","087",113415320,113419348,"-","upstream",-8085,8085,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X096422""; ""SolubleNeg_unqPks__SolubleNeg__X58988""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X097715"")"
"80","Atg7","ENSMUSG00000030314","chr6",114681010,114681188,179,"*","088",114643098,114860595,"+","inside",37912,37912,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X097784""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X096487""; ""SolubleNeg_unqPks__SolubleNeg__X59044"")"
"81","Pde6h","ENSMUSG00000064330","chr6",137053566,137053742,177,"*","089",136954524,136968865,"+","downstream",99042,84701,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X60080""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X099452""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098188"")"
"82","Eps8","ENSMUSG00000015766","chr6",137589111,137590178,1068,"*","090",137477246,137654876,"-","inside",65765,64698,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098215""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098216""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X099477""; ""SolubleNeg_unqPks__SolubleNeg__X60094"")"
"83","Gm15499","ENSMUSG00000086722","chr6",145417023,145417436,414,"*","091",145441757,145444028,"+","upstream",-24734,24321,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X60346""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X099908""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098667"")"
"84","Gm15720","ENSMUSG00000082120","chr6",146313537,146313768,232,"*","092",146463327,146463607,"-","downstream",150070,149559,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X099959""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098721""; ""SolubleNeg_unqPks__SolubleNeg__X60380"")"
"85","Ipo8","ENSMUSG00000040029","chr6",148818637,148819225,589,"*","093",148770684,148831467,"-","inside",12830,12242,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X100096""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X098854""; ""SolubleNeg_unqPks__SolubleNeg__X60462"")"
"86","Hrc","ENSMUSG00000038239","chr7",45349727,45350072,346,"*","094",45335291,45338973,"+","downstream",14436,10754,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X109724""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X108232""; ""SolubleNeg_unqPks__SolubleNeg__X66415""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X109725"")"
"87","Slco3a1","ENSMUSG00000025790","chr7",74690311,74690969,659,"*","095",74275420,74554780,"-","upstream",-135531,135531,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X67137""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X110913""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X109459"")"
"88","Gm2115","ENSMUSG00000097789","chr7",84528883,84529176,294,"*","096",84528976,84578337,"+","overlapStart",-93,93,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X110255""; ""SolubleNeg_unqPks__SolubleNeg__X67628""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X111724"")"
"89","Gprc5b","ENSMUSG00000008734","chr7",119019624,119019838,215,"*","097",118972041,118995211,"-","upstream",-24413,24413,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X63796""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X104227""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X105664"")"
"90","Gm25735","ENSMUSG00000092905","chr7",127185760,127185925,166,"*","098",127191028,127191239,"+","upstream",-5268,5103,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X104880""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X106340""; ""SolubleNeg_unqPks__SolubleNeg__X64174"")"
"91","Ebf3","ENSMUSG00000010476","chr7",137313546,137314713,1168,"*","099",137193674,137314445,"-","overlapStart",899,268,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X106986""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X105516""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X105517""; ""SolubleNeg_unqPks__SolubleNeg__X64594"")"
"92","Eps15l1","ENSMUSG00000006276","chr8",72382408,72382721,314,"*","100",72341002,72421474,"-","inside",39066,38753,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X70884""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X117044""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X115475"")"
"93","Zfhx3","ENSMUSG00000038872","chr8",108449113,108450065,953,"*","101",108714645,108961636,"+","upstream",-265532,264580,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X111410""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X112859""; ""SolubleNeg_unqPks__SolubleNeg__X68352"")"
"94","Gabarapl2","ENSMUSG00000031950","chr8",111960735,111961652,918,"*","102",111940704,111953612,"+","downstream",20031,7123,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X113194""; ""SolubleNeg_unqPks__SolubleNeg__X68537""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X113195""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X111726"")"
"95","Pcnx2","ENSMUSG00000060212","chr8",125898147,125899181,1035,"*","103",125751510,125898293,"-","overlapStart",146,146,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X114445""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X112930""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X114446""; ""SolubleNeg_unqPks__SolubleNeg__X69306""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X112931"")"
"96","Jrkl","ENSMUSG00000079083","chr9",13203217,13203508,292,"*","104",13242791,13245741,"-","downstream",42524,39283,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X120339""; ""SolubleNeg_unqPks__SolubleNeg__X72910""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X118776"")"
"97","Gm22658","ENSMUSG00000077384","chr9",15209342,15209576,235,"*","105",15211632,15211785,"-","downstream",2443,2056,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X73083""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X119087""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X120647"")"
"98","Clmp","ENSMUSG00000032024","chr9",40698754,40699178,425,"*","106",40685963,40785319,"+","inside",12791,12791,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X73706""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X121663""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X120083"")"
"99","Tmprss5","ENSMUSG00000032268","chr9",49081681,49081830,150,"*","107",49081261,49117587,"+","inside",420,420,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X74141""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X120799""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X122400"")"
"100","1810046K07Rik","ENSMUSG00000036027","chr9",51401805,51402212,408,"*","108",51289687,51328917,"-","upstream",-72888,72888,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X120946""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X122554""; ""SolubleNeg_unqPks__SolubleNeg__X74245""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X120947"")"
"101","Stra6","ENSMUSG00000032327","chr9",58056977,58057138,162,"*","109",58063789,58153996,"+","upstream",-6812,6651,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X123160""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X121523""; ""SolubleNeg_unqPks__SolubleNeg__X74601"")"
"102","Gm16144","ENSMUSG00000086399","chr9",69505181,69505857,677,"*","111",69477030,69479598,"-","upstream",-25583,25583,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X75252""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X122604""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X124273""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X124274"")"
"103","Il20rb","ENSMUSG00000044244","chr9",100395841,100396002,162,"*","112",100457720,100486788,"-","downstream",90947,61718,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X118385""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X116812""; ""SolubleNeg_unqPks__SolubleNeg__X71700"")"
"104","Prss45","ENSMUSG00000047257","chr9",110832867,110833329,463,"*","113",110834589,110841313,"+","upstream",-1722,1260,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X72231""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X119201""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X117651"")"
"105","Lyzl4","ENSMUSG00000032530","chr9",121616583,121616796,214,"*","114",121577844,121642096,"-","inside",25513,25300,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X118387""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X119971""; ""SolubleNeg_unqPks__SolubleNeg__X72692"")"
"106","L1cam","ENSMUSG00000031391","chrX",73895821,73895988,168,"*","115",73853779,73896105,"-","inside",284,117,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X77305""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X126389""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X128096"")"
"107","Tmsb15b2","ENSMUSG00000089996","chrX",136959806,136959966,161,"*","116",136955266,136975497,"-","inside",15691,4540,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X76448""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X126542""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X124812"")"
"108","Gm8814","ENSMUSG00000082360","chrX",167049474,167050194,721,"*","117",167028903,167029436,"-","upstream",-20038,20038,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X125432""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X127141""; ""SolubleNeg_unqPks__SolubleNeg__X76782""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X125433"")"
"109",NA,"ENSMUSG00000090028","chr19",45581328,45581530,203,"*","041",45578278,45579763,"+","downstream",3050,1565,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X38187""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X063561""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X062652"")"
"110",NA,"ENSMUSG00000097811","chr10",77464289,77464454,166,"*","002",77486665,77516430,"+","upstream",-22376,22211,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X02790""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X004791""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X004792"")"
"111",NA,"ENSMUSG00000088819","chr17",37009553,37009872,320,"*","033",37015344,37015590,"+","upstream",-5791,5472,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X31915""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X052883""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X052268"")"
"112",NA,"ENSMUSG00000082387","chr16",37801131,37801392,262,"*","030",37797849,37798289,"-","upstream",-2842,2842,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X28602""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X047527""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X046967"")"
"113",NA,"ENSMUSG00000097672","chr9",62744642,62744851,210,"*","110",62804479,62808234,"+","upstream",-59837,59628,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X121944""; ""SolubleNeg_unqPks__SolubleNeg__X74858""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X123599"")"
"114",NA,"ENSMUSG00000092721","chr4",137945447,137945736,290,"*","068",137951125,137951456,"-","downstream",6009,5389,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X51384""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X085293""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X084109"")"
"115",NA,"ENSMUSG00000081899","chr2",68296674,68297032,359,"*","048",68135665,68136612,"+","downstream",161009,160062,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X44656""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X074164""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X073064"")"
"116",NA,"ENSMUSG00000077832","chr5",25165225,25165369,145,"*","073",25168373,25168464,"-","downstream",3239,3004,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X56984""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X093095""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X094275"")"
"117",NA,"ENSMUSG00000093578","chr5",136382731,136383262,532,"*","081",136345885,136350231,"-","upstream",-32500,32500,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X55882""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X091344""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X092517""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X092518"")"
